contented,"['upset', 'sad', 'unhappy', 'disturbed']"
marked,"['vague', 'ordinary']"
decided,"['vague', 'uncertain', 'delaying']"
determined,"['weak', 'yielding', 'flexible', 'soft', 'hesitating']"
dogged,"['weak', 'yielding', 'flexible', 'soft']"
yielding,"['hard', 'solid']"
resigned,"['excited', 'rough', 'troubled', 'violent', 'wild', 'loud']"
ready,"['bare', 'slow']"
qualified,"['unable', 'open']"
talented,"['unable', 'stupid']"
brilliant,"['typical', 'stupid', 'dark', 'normal']"
bright,"['stupid', 'horrible', 'threatening', 'typical', 'pale', 'dark', 'black', 'depressed', 'unhappy', 'normal']"
golden,"['typical', 'stupid', 'dark', 'normal', 'ugly']"
rich,"['failing', 'lacking', 'wanting', 'poor', 'low', 'weak', 'serious']"
wealthy,"['failing', 'lacking', 'wanting', 'poor']"
independent,['dependent']
separate,"['connected', 'united', 'combined', 'joined', 'mixed', 'together', 'associated']"
free,"['expensive', 'priced', 'bound', 'prevented', 'scheduled', 'costly', 'limited', 'barred', 'busy', 'occupied', 'mean']"
expensive,"['reasonable', 'cheap', 'moderate']"
high,"['tiny', 'upset', 'little', 'minute', 'small', 'short', 'ground', 'low', 'mean', 'depressed', 'down', 'soft', 'weak']"
long,"['little', 'short', 'small', 'weak', 'soft', 'low']"
deep,"['restricted', 'pale', 'narrow', 'shallow', 'open', 'light', 'quiet', 'soft']"
wide,"['restricted', 'tiny', 'empty', 'narrow', 'small', 'little', 'limited', 'straight']"
loose,"['combined', 'connected', 'joined', 'united', 'restricted', 'moral', 'hard', 'strict', 'tight', 'stiff', 'attached', 'precise', 'clean', 'decent']"
prominent,"['invisible', 'sunken', 'unknown', 'depressed', 'common', 'ordinary']"
extended,"['contracted', 'cut', 'reduced', 'narrow']"
unfolded,"['wind', 'hide', 'wrap', 'block', 'twist', 'contract', 'lower', 'shrink', 'hold', 'keep', 'maintain', 'cover', 'close', 'fold', 'check', 'stop']"
lower,"['increased', 'higher', 'major', 'important', 'superior']"
junior,"['elder', 'older', 'senior', 'important', 'superior']"
second,"['important', 'superior']"
double,['single']
twin,"['unlike', 'individual', 'single', 'different', 'separate']"
like,"['unlike', 'far', 'changing', 'variable', 'different', 'away']"
comparable,"['unlike', 'different']"
equivalent,"['opposite', 'unlike', 'different']"
even,"['varying', 'interrupted', 'changing', 'unfair', 'unlike', 'variable', 'vertical', 'biased', 'broken', 'rough', 'different', 'troubled', 'partial']"
alike,"['unlike', 'diverse', 'opposite', 'different', 'distinct']"
similar,"['unlike', 'alien', 'opposite', 'different']"
related,"['alien', 'unlike', 'different', 'separate', 'foreign']"
joined,"['separated', 'apart']"
married,"['separated', 'single']"
united,"['divided', 'separated', 'separate']"
cooperative,"['divided', 'separate', 'hurting', 'preventing']"
collective,"['divided', 'separate']"
mutual,"['distinct', 'separate']"
consecutive,"['interrupted', 'broken']"
after,['before']
later,"['earlier', 'before']"
next,"['earlier', 'previous']"
close,"['far', 'distant', 'remote', 'away', 'beyond', 'loose', 'open', 'cool', 'dry', 'generous', 'giving']"
neighboring,"['far', 'separate', 'away']"
nearby,['far']
immediate,"['later', 'far', 'eventually', 'away', 'distant']"
prompt,"['later', 'delayed', 'slow', 'late']"
rapid,"['delayed', 'slow']"
fast,"['boring', 'moral', 'slow', 'flexible', 'loose', 'good']"
hot,"['freezing', 'old-fashioned', 'out', 'dry', 'cold', 'cool', 'mild', 'moderate', 'calm', 'old']"
tropical,"['freezing', 'cold', 'cool']"
freezing,"['tropical', 'friendly', 'pleasant', 'kind', 'hot', 'warm', 'good', 'nice', 'boiling', 'heated']"
chill,"['friendly', 'kind', 'heated', 'hot', 'warm', 'slow']"
cool,"['excited', 'upset', 'friendly', 'kind', 'hot', 'warm', 'approving', 'poor', 'square']"
excited,"['bored', 'composed', 'calm']"
eager,['satisfied']
ambitious,"['content', 'satisfied', 'easy']"
driving,['weak']
sweeping,"['restricted', 'specific', 'exclusive', 'narrow', 'partial']"
radical,"['minor', 'conservative', 'secondary', 'moderate']"
profound,"['stupid', 'open', 'light', 'shallow', 'slight', 'mild', 'moderate']"
philosophical,"['stupid', 'objective', 'real', 'concrete', 'material', 'physical']"
abstract,"['real', 'objective', 'simple', 'actual', 'concrete', 'material', 'physical']"
complex,"['evident', 'obvious', 'simple', 'single', 'uniform', 'clear', 'easy', 'plain', 'apparent', 'direct']"
complicated,"['easy', 'nice', 'simple', 'plain']"
sophisticated,"['encouraged', 'excited', 'easy', 'simple', 'slow']"
knowing,"['stupid', 'kind', 'poor', 'slow']"
intelligent,"['stupid', 'typical', 'worn', 'dark', 'normal', 'old']"
creative,['old']
gifted,"['stupid', 'unable']"
accomplished,['unable']
skilled,['unable']
expert,"['stupid', 'green']"
trained,"['unable', 'raw']"
unable,"['capable', 'sufficient', 'adequate', 'talented', 'strong', 'able', 'fit', 'qualified']"
sufficient,"['lacking', 'wanting', 'poor']"
acceptable,"['disturbing', 'poor', 'bad']"
decent,['poor']
honest,"['biased', 'unfair', 'lying', 'false', 'partial']"
reliable,"['evil', 'vulnerable', 'uncertain', 'bad', 'soft', 'broken', 'weak', 'false']"
safe,"['vulnerable', 'dangerous', 'risky', 'exposed']"
protected,"['vulnerable', 'exposed', 'weak']"
guaranteed,['uncertain']
assured,"['uncertain', 'vague', 'feared', 'doubting', 'nervous', 'doubted', 'confused']"
established,"['temporary', 'false']"
set,"['variable', 'flexible', 'weak', 'yielding', 'moving', 'soft']"
bent,['straight']
curved,['straight']
twisted,"['even', 'straight', 'clear', 'simple']"
straight,"['unfair', 'changing', 'varying', 'level', 'curved', 'disordered', 'mixed', 'broken', 'twisted', 'different']"
vertical,['level']
steep,"['kind', 'calm', 'nice', 'low', 'lowered', 'gentle', 'mild', 'moderate', 'cheap']"
sheer,"['uncertain', 'moderate', 'slow', 'heavy', 'thick']"
complete,"['lacking', 'missing', 'wanting', 'short']"
all,"['none', 'zero']"
total,"['specific', 'restricted', 'uncertain', 'limited', 'broken', 'part', 'partial']"
overall,"['specific', 'narrow']"
global,"['local', 'specific', 'individual', 'particular', 'limited']"
international,"['local', 'national']"
universal,"['restricted', 'specific', 'exclusive', 'individual', 'extraordinary', 'unusual', 'local', 'rare', 'limited', 'narrow', 'particular', 'partial']"
common,"['unusual', 'extraordinary', 'valuable', 'excellent', 'rare', 'different', 'original', 'high', 'sophisticated', 'superior']"
accepted,"['unusual', 'different']"
approved,"['refused', 'uncertain']"
sanctioned,['refused']
permitted,"['prohibited', 'refused', 'denied']"
licensed,['refused']
refused,"['permitted', 'allowed']"
forbidden,"['approved', 'authorized', 'permitted', 'sanctioned', 'allowed']"
illegal,"['ethical', 'legal', 'authorized', 'permitted', 'legitimate', 'moral', 'good', 'right', 'blessed', 'allowed']"
prohibited,"['legal', 'legitimate', 'moral', 'permitted', 'good', 'right', 'allowed']"
restricted,['free']
closed,"['running', 'working', 'continuing', 'started', 'welcoming', 'open', 'beginning', 'starting']"
sealed,['open']
fixed,"['variable', 'flexible', 'loose', 'soft', 'moving', 'broken']"
absorbed,"['bored', 'existing', 'distracted']"
engaged,['available']
devoted,['false']
bound,"['permitted', 'allowed', 'free']"
forced,['voluntary']
required,['voluntary']
deserved,['excessive']
fit,"['stupid', 'unable', 'wrong', 'poor', 'weak']"
becoming,['ugly']
welcome,['bad']
pleasing,"['horrible', 'boring', 'tiring', 'unhappy', 'bitter', 'mean', 'ugly', 'bad', 'offensive', 'nasty']"
favorable,"['bad', 'hurting']"
kind,"['cruel', 'cold', 'cool', 'mean', 'hard', 'harsh', 'rough', 'severe', 'nasty', 'violent', 'bad', 'bitter']"
friendly,"['hostile', 'cold', 'cool', 'hurting', 'bad', 'mean', 'distant', 'reserved', 'loose']"
familiar,"['unusual', 'extraordinary', 'industrial', 'alien', 'unknown', 'different', 'business', 'foreign', 'original', 'new', 'strange', 'cold', 'cool', 'distant', 'reserved']"
usual,"['unusual', 'occasional', 'foreign', 'strange', 'different', 'new', 'original', 'rare']"
routine,"['unusual', 'variable', 'extraordinary', 'special', 'breaking', 'strange', 'different', 'original']"
ordinary,"['unusual', 'unknown', 'specific', 'extraordinary', 'distinctive', 'remarkable', 'special', 'different', 'original', 'particular']"
typical,"['unusual', 'extraordinary', 'rare', 'different']"
classic,"['unusual', 'different']"
representative,['different']
model,"['unusual', 'different']"
classical,"['complicated', 'modern']"
standard,"['unusual', 'extraordinary', 'rare', 'different']"
basic,"['minor', 'extra', 'additional', 'secondary', 'outside']"
underlying,['secondary']
bottom,"['highest', 'top', 'secondary']"
last,"['middle', 'front', 'initial', 'oldest', 'primary', 'moderate', 'beginning', 'opening', 'first', 'starting']"
distant,"['nearby', 'neighboring', 'friendly', 'kind', 'public', 'close', 'near', 'warm']"
isolated,"['included', 'open', 'close', 'incorporated', 'public']"
lonely,"['loved', 'close', 'frequented']"
deserted,"['used', 'pleased', 'filled', 'productive', 'crowded', 'happy', 'full', 'busy']"
empty,"['aware', 'filled', 'sufficient', 'entire', 'satisfied', 'productive', 'full', 'occupied', 'busy', 'complete', 'effective']"
dry,"['wet', 'soaked', 'exciting', 'interesting', 'full']"
bare,"['private', 'secret', 'covered', 'full', 'decorated']"
naked,"['hidden', 'covered', 'decorated', 'strong', 'private', 'secret']"
exposed,"['hidden', 'vague', 'guarded', 'protected', 'closed', 'blocked', 'private', 'secret', 'safe', 'sheltered']"
discovered,"['hidden', 'lost']"
invented,"['real', 'true', 'genuine']"
assumed,"['real', 'unexpected', 'genuine', 'true', 'natural']"
affected,"['collected', 'OK', 'healthy', 'calm', 'happy', 'hard', 'kept']"
damaged,"['healthy', 'OK', 'repaired', 'working', 'fixed', 'perfect']"
gone,"['sufficient', 'stored', 'existing', 'living', 'current', 'working', 'saved', 'found', 'present', 'alive', 'around']"
retired,"['employed', 'working', 'active']"
elderly,"['young', 'new', 'youth']"
aged,"['modern', 'young', 'new', 'recent', 'fresh']"
neutral,"['biased', 'interested', 'excited', 'concerned', 'involved', 'decided', 'partial', 'bright', 'loud', 'strong']"
calm,"['excited', 'nervous', 'fierce', 'angry', 'worried', 'rough', 'harsh', 'violent', 'wild', 'mad']"
mild,"['healthy', 'excited', 'upset', 'fierce', 'nervous', 'cold', 'hot', 'harsh', 'rough', 'strong', 'violent', 'severe', 'firm', 'loud', 'wild', 'hard']"
peaceful,"['excited', 'broken', 'rough', 'loud', 'violent', 'wild', 'disturbed']"
collected,"['excited', 'upset', 'worried']"
possessed,['normal']
violent,"['kind', 'pleasant', 'peaceful', 'calm', 'nice', 'weak', 'gentle', 'controlled', 'mild', 'moderate']"
brutal,"['kind', 'friendly', 'calm', 'nice', 'sophisticated', 'easy', 'gentle', 'mild', 'smooth', 'giving', 'tender', 'generous']"
rough,"['ordered', 'level', 'flat', 'smooth', 'calm', 'gentle', 'mild', 'nice', 'sophisticated', 'easy', 'soft', 'neat', 'even', 'regular', 'moderate', 'accurate', 'complete', 'precise']"
broken,"['connected', 'OK', 'continuous', 'satisfied', 'working', 'flowing', 'perfect', 'complete', 'fixed', 'whole', 'happy', 'kept']"
cracked,"['OK', 'working', 'fixed']"
OK,"['unusual', 'extraordinary', 'bad', 'extreme']"
okay,"['refused', 'bad', 'dark', 'wrong']"
correct,"['biased', 'false', 'wrong']"
strict,"['kind', 'uncertain', 'flexible', 'gentle', 'nice', 'easy', 'mild', 'soft', 'yielding']"
exacting,"['loose', 'easy', 'flexible', 'mild', 'soft', 'yielding', 'giving', 'lending']"
careful,"['false', 'loose']"
accurate,"['uncertain', 'vague', 'mistaken', 'general', 'false', 'wrong']"
scientific,['artistic']
objective,"['biased', 'interested', 'excited', 'friendly', 'unfair', 'involved', 'partial', 'hot', 'warm']"
cold,"['pleasant', 'friendly', 'kind', 'stupid', 'eager', 'excited', 'interested', 'hot', 'warm', 'heated', 'good', 'mild', 'nice']"
frozen,"['hot', 'warm', 'boiled', 'heated', 'continued', 'moving']"
boiled,['freeze']
heated,"['kind', 'content', 'peaceful', 'calm', 'cool', 'cold', 'happy', 'mild', 'moderate', 'gentle', 'cooled', 'frozen']"
fierce,"['kind', 'pleasant', 'peaceful', 'calm', 'nice', 'cold', 'cool', 'happy', 'gentle', 'mild', 'weak', 'quiet', 'good', 'moderate', 'tender']"
raging,"['delighted', 'calm', 'mild', 'moderate', 'happy']"
angry,"['pleased', 'peaceful', 'collected', 'content', 'happy', 'nice', 'calm', 'cool', 'mild']"
cross,"['pleasant', 'happy']"
nice,"['horrible', 'disordered', 'cool', 'bad', 'mean', 'ugly', 'nasty']"
swell,"['stupid', 'horrible', 'bad', 'poor']"
excellent,"['unknown', 'unable', 'failing', 'poor', 'bad', 'common', 'ordinary', 'regular', 'ugly']"
attractive,"['boring', 'offensive', 'ugly']"
lovely,"['horrible', 'awful', 'poor', 'ordinary', 'ugly', 'unhappy']"
engaging,"['boring', 'mean', 'ugly']"
inviting,"['boring', 'ugly']"
entrancing,['boring']
present,"['old-fashioned', 'former', 'future', 'far', 'late', 'old', 'past', 'previous', 'away', 'distant']"
scheduled,"['unfair', 'ugly']"
coming,"['gone', 'far', 'distant', 'past', 'away']"
subsequent,"['earlier', 'former', 'prior', 'previous']"
following,"['front', 'leading', 'first']"
latter,"['initial', 'earliest', 'former', 'beginning', 'first', 'starting', 'opening']"
recent,"['old-fashioned', 'earlier', 'future', 'old', 'past']"
novel,"['like', 'similar', 'standard', 'usual', 'future', 'used', 'worn', 'normal', 'common', 'familiar', 'regular', 'old', 'past', 'ordinary']"
strange,"['standard', 'usual', 'typical', 'like', 'similar', 'common', 'normal', 'familiar', 'regular', 'ordinary', 'conventional', 'bad', 'poor', 'expected', 'native']"
funny,"['logical', 'wise', 'boring', 'tiring', 'dramatic', 'tragic', 'standard', 'usual', 'reasonable', 'serious', 'sad', 'unhappy', 'common', 'normal']"
entertaining,"['boring', 'dramatic', 'tragic', 'tiring', 'sad', 'serious', 'unhappy', 'bad']"
inspiring,['boring']
moving,"['permanent', 'fixed']"
meaningful,"['minor', 'little', 'small']"
valid,"['unlikely', 'evil', 'illegal', 'false', 'wrong']"
binding,['secondary']
tied,"['unlike', 'different']"
unlike,"['alike', 'like', 'related', 'similar', 'same']"
diverse,"['like', 'similar', 'alike', 'identical', 'same', 'uniform']"
varied,"['like', 'similar', 'same', 'uniform']"
various,"['alike', 'like', 'resembling', 'similar', 'united', 'combined', 'connected', 'joined', 'individual', 'same', 'uniform']"
individual,"['usual', 'combined', 'mixed', 'together', 'united', 'normal', 'ordinary', 'general', 'common']"
personal,"['usual', 'public', 'common', 'ordinary', 'general']"
secret,"['honest', 'known', 'obvious', 'visible', 'explicit', 'legal', 'legitimate', 'open', 'public', 'revealed', 'apparent', 'light', 'clear', 'defined']"
classified,"['open', 'public', 'revealed']"
private,"['known', 'common', 'public', 'ordinary', 'open', 'revealed']"
special,"['OK', 'minor', 'uncertain', 'like', 'similar', 'standard', 'usual', 'worst', 'least', 'secondary', 'common', 'general', 'ordinary', 'conventional', 'normal', 'regular', 'familiar']"
extraordinary,"['usual', 'typical', 'like', 'similar', 'standard', 'common', 'conventional', 'familiar', 'ordinary', 'plain', 'bad', 'poor', 'normal', 'average', 'regular', 'expected', 'general']"
unprecedented,"['standard', 'usual', 'known', 'common', 'familiar', 'normal', 'regular', 'ordinary', 'bad', 'poor']"
unique,"['usual', 'like', 'similar', 'standard', 'normal', 'common', 'regular', 'ordinary']"
one,"['combined', 'together', 'mixed', 'united', 'usual', 'normal', 'ordinary', 'general', 'common', 'none']"
single,"['together', 'usual', 'combined', 'double', 'mixed', 'united', 'married', 'public', 'general', 'common', 'ordinary', 'attached']"
separated,"['connected', 'together', 'united', 'attached', 'whole']"
removed,"['established', 'ignored', 'left']"
withdrawn,"['confident', 'friendly', 'known', 'visible', 'bold', 'seen']"
retiring,"['friendly', 'bold']"
shrinking,['bold']
withdrawing,"['combine', 'unite', 'remain', 'permit', 'come', 'stay', 'continue', 'enter', 'begin', 'join', 'engage', 'keep', 'arrive', 'face', 'meet', 'advance', 'allow']"
meet,['unfair']
just,"['unfair', 'partial', 'wrong']"
due,"['settled', 'paid']"
owed,"['settled', 'paid']"
owing,"['young', 'settled', 'green', 'paid', 'resolved']"
young,"['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
adolescent,"['adult', 'infant']"
growing,"['failing', 'dying', 'shrinking', 'dead']"
thriving,"['failing', 'poor', 'declining', 'losing']"
booming,"['failing', 'losing']"
successful,"['poor', 'bad', 'sad', 'unhappy', 'losing']"
lucky,['bad']
blessed,"['condemned', 'damned', 'unhappy']"
saved,"['spent', 'ruined', 'wasted']"
built,"['flat', 'weak']"
done,"['saved', 'rare', 'raw', 'denied']"
hanged,"['straighten', 'release', 'abandon', 'forget', 'remove', 'do', 'separate', 'rise']"
lean,"['fat', 'thick', 'heavy', 'strong', 'fresh']"
worn,"['current', 'rested', 'restored', 'intact', 'protected', 'fresh', 'new', 'saved']"
tired,"['rested', 'fresh', 'saved', 'active']"
fatigued,['fresh']
fresh,"['standard', 'old-fashioned', 'experienced', 'tired', 'used', 'worn', 'kind', 'normal', 'warm', 'old', 'exhausted', 'gentle']"
old-fashioned,"['modern', 'current', 'young', 'new', 'recent', 'fresh', 'present', 'contemporary']"
old,"['young', 'current', 'modern', 'new', 'green', 'fresh', 'contemporary', 'late', 'recent']"
ancient,"['modern', 'current', 'young', 'new', 'fresh']"
early,"['future', 'worn', 'later', 'old', 'late']"
previous,"['current', 'future', 'later', 'present']"
past,"['after', 'later', 'current', 'future', 'present']"
prior,"['later', 'subsequent', 'after', 'following', 'current', 'future', 'present']"
former,"['after', 'modern', 'current', 'following', 'future', 'subsequent', 'new', 'present', 'succeeding']"
first,"['following', 'minor', 'additional', 'extra', 'last', 'least', 'secondary', 'final', 'ending']"
least,"['huge', 'large', 'most', 'big', 'substantial']"
minimum,"['largest', 'maximum', 'most']"
minimal,"['maximum', 'most', 'secondary']"
base,"['wealthy', 'kind', 'pleasing', 'moral', 'honest', 'rich', 'superior', 'good', 'nice', 'clean', 'pure', 'just', 'high']"
mean,"['kind', 'generous', 'nice', 'extreme']"
evil,"['pleasant', 'pleasing', 'wonderful', 'assisting', 'helpful', 'friendly', 'kind', 'lovely', 'attractive', 'beautiful', 'honest', 'moral', 'good', 'aiding', 'nice', 'gentle', 'right', 'decent']"
wrong,"['honest', 'valid', 'OK', 'moral', 'acceptable', 'appropriate', 'suitable', 'true', 'accurate', 'correct', 'precise', 'right', 'just', 'sound', 'good', 'decent']"
mistaken,"['valid', 'honest', 'correct', 'right', 'true', 'accurate', 'exact', 'fair', 'just', 'precise', 'sound']"
fooled,['clear']
false,"['real', 'honest', 'moral', 'valid', 'known', 'reliable', 'genuine', 'true', 'correct', 'fair', 'right', 'sound', 'open', 'proven', 'accurate', 'actual', 'precise', 'just', 'straight']"
lying,"['honest', 'direct']"
inventing,"['destroy', 'result', 'ignore', 'ruin', 'end', 'finish', 'lose', 'miss', 'fail', 'forget', 'hurt', 'stop', 'steal']"
hurt,"['healthy', 'OK', 'pleased', 'perfect', 'happy', 'comforted', 'cured', 'healed', 'well']"
sad,"['pleasant', 'glad', 'lucky', 'happy', 'nice', 'good', 'great']"
sorry,"['glad', 'happy', 'good', 'nice']"
touched,"['OK', 'well']"
faded,"['intelligent', 'fresh', 'good', 'nice', 'new', 'bright', 'clear', 'light', 'smart', 'colorful', 'active', 'colored', 'strengthened']"
wasted,"['fat', 'full']"
drunk,['straight']
burning,"['cold', 'cool']"
flaming,"['pleased', 'happy']"
intense,"['stupid', 'pale', 'peaceful', 'kind', 'slow', 'weak', 'moderate', 'shallow', 'mild', 'soft', 'gentle', 'calm', 'nice', 'low']"
concentrated,"['weak', 'loose', 'thin', 'free']"
stuffed,['empty']
loaded,['empty']
taxed,['fresh']
strained,"['comfortable', 'easy', 'calm', 'loose', 'relaxed', 'genuine']"
labored,"['easy', 'natural', 'relaxed']"
studied,['natural']
considered,['forgotten']
secure,"['uncertain', 'loose', 'moving']"
sheltered,['exposed']
screened,"['friendly', 'open', 'seen']"
abandoned,"['defended', 'moral', 'adopted', 'maintained', 'supported', 'innocent', 'pure']"
forgotten,"['existing', 'remembered', 'recalled']"
lost,"['successful', 'winning', 'existing', 'living', 'aware', 'seen', 'accomplishing', 'found', 'alive']"
invisible,"['obvious', 'visible', 'seen']"
obvious,"['vague', 'invisible', 'hidden', 'uncertain', 'unknown', 'secret', 'dark']"
evident,"['uncertain', 'vague', 'hidden', 'unknown', 'secret']"
visible,"['hidden', 'uncertain', 'unknown', 'vague', 'invisible', 'secret']"
signal,"['vague', 'ordinary', 'common']"
characteristic,"['usual', 'similar', 'standard', 'unusual', 'ordinary', 'common', 'general', 'public', 'foreign']"
distinctive,"['usual', 'resembling', 'similar', 'standard', 'normal', 'ordinary', 'regular', 'common', 'same']"
weird,"['usual', 'boring', 'pleasant', 'pleasing', 'standard', 'real', 'known', 'common', 'familiar', 'normal', 'ordinary', 'natural', 'good', 'plain', 'regular', 'genuine']"
known,"['unknown', 'hidden', 'vague']"
authorized,['illegal']
legitimate,"['illegal', 'false', 'affected']"
sound,"['vulnerable', 'damaged', 'refused', 'rejected', 'weak', 'soft', 'broken', 'part', 'wrong', 'sick', 'partial']"
stable,"['vulnerable', 'temporary', 'changing', 'loose', 'soft', 'broken', 'weak', 'different', 'flexible']"
permanent,"['temporary', 'changing']"
temporary,"['enduring', 'permanent', 'long']"
summary,"['large', 'long']"
acting,['permanent']
passing,"['large', 'enduring', 'permanent', 'long', 'tall', 'thick']"
shallow,"['aware', 'considered', 'intelligent', 'raised', 'full', 'important', 'significant', 'deep']"
flat,"['rounded', 'rough', 'broken', 'raised', 'sharp']"
plane,"['extraordinary', 'changing', 'vertical', 'broken', 'different', 'rough']"
uniform,"['unfair', 'changing', 'variable', 'varying', 'unusual', 'varied', 'unlike', 'flexible', 'yielding', 'soft', 'broken', 'different', 'rough']"
neat,"['stupid', 'false', 'dirty', 'rough']"
trim,"['stupid', 'dirty', 'rough', 'fat']"
clean,"['complicated', 'aware', 'uncertain', 'dirty', 'soiled', 'dark']"
blank,"['filled', 'aware', 'excited', 'understanding', 'full', 'dirty', 'occupied']"
white,"['biased', 'strong', 'partial', 'dark', 'black', 'dirty']"
silver,"['black', 'dark']"
pale,"['healthy', 'intelligent', 'strong', 'happy', 'bright', 'clear', 'distinct', 'light', 'smart', 'colored', 'heavy', 'dark', 'colorful']"
sick,"['healthy', 'moral', 'content', 'pleased', 'satisfied', 'well', 'sound', 'strong', 'perfect', 'clean', 'gentle', 'nice', 'happy']"
disordered,"['organized', 'ordered', 'connected', 'clear', 'neat', 'arranged', 'trim']"
moved,"['kept', 'remaining', 'resident']"
transferred,"['fixed', 'stationed']"
trucked,"['deny', 'refuse', 'hold', 'keep']"
stock,"['extra', 'unusual', 'extraordinary', 'secondary', 'different', 'rare', 'original']"
stereotyped,"['unlike', 'active', 'fresh', 'different']"
active,"['fixed', 'quiet']"
progressive,"['conservative', 'moderate']"
fighting,"['kind', 'peaceful', 'nice']"
hostile,"['friendly', 'kind', 'helpful', 'pleasant', 'wonderful', 'welcoming', 'helping', 'nice', 'aiding', 'favorable', 'good', 'hot', 'warm', 'gentle']"
opposed,"['friendly', 'kind']"
counter,"['similar', 'agreeing', 'equal', 'same']"
same,"['unlike', 'changing', 'variable', 'different']"
express,"['uncertain', 'vague', 'usual', 'general', 'common', 'ordinary', 'normal', 'slow']"
explicit,"['vague', 'uncertain', 'false', 'wrong', 'confused']"
absolute,"['uncertain', 'restricted', 'qualified', 'limited', 'part', 'partial', 'yielding', 'dependent']"
partial,"['entire', 'total', 'complete', 'whole', 'fair', 'just']"
halfway,"['biased', 'extraordinary', 'unusual', 'extreme', 'outside', 'partial', 'end']"
medium,"['unusual', 'biased', 'extraordinary', 'rare', 'partial', 'different', 'extreme']"
middle,"['outer', 'extreme', 'outside', 'border']"
center,"['external', 'outer', 'bordering', 'outside', 'extreme', 'edging']"
inside,"['external', 'outer', 'known', 'outside', 'public']"
inner,"['external', 'outer', 'outside', 'physical']"
inherent,"['learned', 'extra', 'minor', 'added', 'external', 'acquired', 'secondary']"
internal,"['external', 'outer']"
domestic,"['industrial', 'alien', 'business', 'office', 'foreign']"
home,"['outside', 'foreign', 'business', 'commercial']"
household,"['special', 'industrial', 'different', 'business', 'commercial']"
everyday,"['extraordinary', 'unusual', 'special', 'unexpected', 'rare', 'different']"
frequent,"['unusual', 'interrupted', 'permanent', 'occasional', 'ending', 'broken', 'ceasing', 'rare']"
numerous,"['tiny', 'similar', 'few', 'lacking', 'little', 'small', 'uniform']"
several,"['individual', 'one', 'none']"
considerable,"['tiny', 'stupid', 'minor', 'little', 'minute', 'small', 'short', 'poor', 'slight']"
substantial,"['tiny', 'minor', 'spiritual', 'soft', 'broken', 'slight', 'small', 'weak', 'little', 'mental', 'poor']"
massive,"['tiny', 'minor', 'little', 'slight', 'small', 'minute', 'common', 'poor', 'short', 'weak', 'limited', 'narrow']"
towering,"['tiny', 'minor', 'common', 'modest', 'ordinary', 'poor', 'small', 'little', 'low', 'short']"
soaring,['ground']
flying,"['slow', 'ground', 'grounded']"
floating,"['heavy', 'sunk']"
light,"['unhappy', 'dark', 'black', 'heavy', 'difficult', 'grave', 'serious']"
shining,['dark']
distinguished,"['unknown', 'typical', 'stupid', 'standard', 'ordinary', 'normal', 'common']"
well-known,"['unknown', 'ordinary']"
popular,"['old-fashioned', 'unknown', 'unusual', 'different']"
suitable,['stupid']
stupid,"['intelligent', 'wise', 'careful', 'smart', 'reasonable', 'bright', 'sharp', 'serious', 'responsible']"
dumb,"['intelligent', 'speaking', 'bright', 'sharp', 'smart']"
silent,['explicit']
shy,"['confident', 'brave', 'eager', 'willing', 'adequate', 'enough', 'sufficient', 'forward', 'bold', 'aggressive', 'calm', 'proud', 'bent']"
suspicious,"['believing', 'confident', 'convinced', 'trusting', 'certain', 'sure', 'innocent']"
suspect,"['known', 'trusted', 'innocent']"
unlikely,"['usual', 'possible', 'likely', 'common', 'regular', 'reasonable', 'probably']"
trusted,"['cool', 'false']"
believing,"['doubting', 'uncertain']"
assuming,['doubting']
forward,"['later', 'last', 'past', 'reversing', 'back', 'reserved', 'shy']"
back,"['front', 'future', 'first', 'beginning']"
final,"['continuing', 'temporary', 'beginning', 'first', 'opening', 'starting']"
ultimate,"['least', 'lowest', 'worst', 'extra', 'beginning', 'first', 'opening', 'secondary']"
furthest,"['closest', 'nearest']"
remotest,"['known', 'loved', 'nearby', 'related', 'relevant', 'likely', 'possible', 'friendly', 'open', 'public', 'close', 'near', 'gentle', 'warm']"
wild,"['kind', 'nice', 'sophisticated', 'controlled', 'delicate', 'gentle', 'behaved', 'calm', 'mild', 'moderate']"
desert,['productive']
native,"['minor', 'alien', 'secondary', 'foreign', 'outside']"
indigenous,"['alien', 'foreign']"
genetic,['acquired']
historical,"['modern', 'false']"
acquired,['lost']
received,"['delivered', 'given']"
gathered,"['separated', 'scattered']"
vague,"['explicit', 'determined', 'obvious', 'clear', 'certain', 'secure', 'sure', 'plain', 'distinct', 'apparent']"
apparent,"['unlikely', 'hidden', 'real', 'uncertain']"
supposed,['real']
alleged,"['certain', 'sure']"
pretended,"['real', 'genuine', 'original', 'true', 'exposed', 'open', 'revealed', 'bare']"
artificial,"['real', 'genuine', 'natural']"
plastic,"['hard', 'stiff']"
bending,['straight']
curving,['straight']
winding,"['straight', 'direct', 'simple']"
direct,"['vague', 'changing', 'interrupted', 'varying', 'decorated']"
changing,"['stable', 'certain', 'sure', 'steady', 'fixed']"
mobile,"['settled', 'stable', 'solid', 'fixed']"
liquid,"['dry', 'broken', 'close', 'dense', 'firm', 'hard', 'solid', 'frozen']"
wet,"['dry', 'clear']"
soaked,['dry']
exhausting,['easy']
flowing,"['empty', 'solid']"
