contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
open,"['accessible', 'wide', 'clear', 'free', 'exposed', 'stripped', 'cleared', 'bare', 'rent', 'removed', 'patent', 'extended', 'rolling', 'uncovered', 'extensive', 'naked', 'emptied', 'unfolded', 'disclosed', 'peeled', 'revealed', 'expanded']"
accessible,"['available', 'exposed', 'near', 'open', 'possible', 'public']"
available,"['accessible', 'possible', 'free', 'prepared']"
possible,"['available', 'potential', 'dependent', 'welcome', 'snap', 'accessible', 'promising', 'uncertain']"
potential,"['likely', 'hidden', 'possible', 'future', 'implied', 'inherent']"
likely,"['fair', 'possible', 'reasonable', 'expected', 'acceptable', 'anticipated', 'favorite', 'promising', 'rational', 'seeming', 'tending', 'true', 'assuring']"
reasonable,"['fair', 'cheap', 'proper', 'honest', 'valid', 'rational', 'objective', 'acceptable', 'modest', 'legitimate', 'average', 'conservative', 'fit', 'just', 'knowing', 'okay', 'right', 'sound', 'controlled']"
cheap,"['reasonable', 'competitive', 'budget', 'buy', 'moderate', 'reduced', 'sale', 'standard', 'steal', 'utility', 'lowered']"
competitive,"['aggressive', 'ambitious', 'opposing', 'rival', 'competing']"
aggressive,"['threatening', 'disturbing', 'offensive', 'advancing', 'attacking', 'invading']"
offensive,"['horrible', 'shocking', 'gross', 'cutting', 'evil', 'biting', 'terrible']"
gross,"['heavy', 'great', 'thick', 'big', 'dense', 'massive']"
big,"['huge', 'enormous', 'full', 'tremendous', 'fat', 'substantial', 'massive', 'considerable', 'vast', 'crowded', 'extensive', 'packed', 'stuffed']"
fat,"['large', 'big', 'heavy', 'gross', 'bull', 'solid', 'broad', 'swollen']"
large,"['huge', 'enormous', 'giant', 'generous', 'full', 'wide', 'broad', 'grand', 'great', 'considerable', 'substantial', 'massive', 'extensive', 'vast', 'gross', 'liberal', 'comprehensive', 'sweeping', 'super', 'excessive', 'booming']"
giant,"['huge', 'enormous', 'big', 'vast']"
vast,"['huge', 'tremendous', 'broad', 'extensive', 'big', 'great', 'endless', 'enormous', 'massive', 'comprehensive', 'detailed', 'forever', 'giant', 'sweeping', 'widespread', 'expanded']"
broad,"['full', 'generous', 'deep', 'large', 'extensive', 'vast', 'thick', 'extended', 'widespread']"
generous,"['good', 'helpful', 'fair', 'big', 'acceptable', 'honest', 'willing', 'reasonable', 'easy', 'excellent', 'free', 'just', 'kind', 'liberal', 'loose', 'moderate']"
helpful,"['accessible', 'useful', 'valuable', 'cooperative', 'supportive', 'productive', 'crucial', 'friendly', 'important', 'favorable', 'significant', 'practical', 'suitable', 'essential', 'accommodating', 'improving', 'kind', 'bettering', 'caring']"
useful,"['good', 'helpful', 'effective', 'practical', 'appropriate', 'favorable', 'proper', 'suitable', 'applied', 'brave', 'fit', 'functional', 'meet', 'suited', 'toward']"
effective,"['useful', 'impressive', 'efficient', 'sufficient', 'powerful', 'direct', 'practical', 'valid', 'compelling', 'active', 'adequate', 'able', 'capable', 'convincing', 'live', 'moving', 'producing', 'serving', 'sound', 'striking', 'telling', 'yielding']"
efficient,"['productive', 'useful', 'able', 'capable', 'powerful', 'skilled', 'dynamic', 'active', 'valuable', 'tough', 'adequate', 'accomplished', 'adapted', 'economic', 'experienced', 'expert', 'fitted', 'organized', 'practiced', 'qualified', 'ready', 'saving', 'talented']"
productive,"['useful', 'effective', 'dynamic', 'valuable', 'rewarding', 'producing', 'rich']"
dynamic,"['productive', 'effective', 'influential', 'powerful', 'compelling', 'progressive', 'changing', 'aggressive', 'electric', 'driving', 'intense', 'magnetic']"
influential,"['dominant', 'leading', 'famous', 'important', 'significant', 'strong', 'prominent', 'affecting', 'controlling', 'governing', 'impressive', 'inspiring', 'meaningful', 'moving', 'name', 'substantial', 'telling', 'touching', 'guiding']"
famous,"['honored', 'remarkable', 'outstanding', 'powerful', 'well-known', 'leading', 'grand', 'important', 'excellent', 'prominent', 'great', 'influential', 'recognized', 'noted', 'brilliant', 'distinguished', 'celebrated', 'extraordinary', 'imposing', 'signal']"
honored,"['recognized', 'well-known', 'distinguished', 'celebrated', 'important', 'decorated']"
recognized,"['perceived', 'sanctioned', 'remembered', 'known', 'accepted', 'realized', 'caught', 'sighted', 'identified', 'allowed', 'admitted', 'recalled']"
perceived,"['recognized', 'anticipated', 'heard', 'noticed', 'observed', 'understood', 'touched', 'noted', 'witnessed', 'felt', 'sensed', 'grasped']"
anticipated,"['certain', 'likely', 'sure']"
heard,"['understood', 'caught', 'noted', 'witnessed']"
understood,"['pat', 'implied', 'known', 'accepted', 'appreciated']"
pat,"['fitting', 'happy', 'neat']"
happy,"['contented', 'delighted', 'pleased', 'pleasant', 'peaceful', 'glad', 'blessed', 'content', 'gay', 'laughing', 'light', 'sunny', 'blest', 'up']"
delighted,"['charmed', 'pleased', 'excited', 'entranced']"
charmed,"['delighted', 'pleased', 'protected', 'possessed', 'attracted', 'entranced']"
pleased,"['contented', 'satisfied', 'happy', 'content', 'charmed']"
content,"['willing', 'contented', 'satisfied', 'comfortable']"
willing,"['prepared', 'responsible', 'pleased', 'eager', 'active', 'happy', 'prompt', 'voluntary', 'fair', 'accommodating', 'one', 'content', 'game', 'forward', 'feeling', 'favorable', 'reliable', 'consenting']"
prepared,"['able', 'willing', 'qualified', 'planned', 'adapted', 'processed', 'framed', 'set', 'stacked', 'fit', 'primed', 'fixed', 'minded', 'available', 'arranged', 'adjusted']"
able,"['good', 'capable', 'easy', 'ready', 'adequate', 'strong', 'intelligent', 'smart', 'bright', 'cunning', 'equipped', 'fitted', 'knowing', 'powerful']"
easy,"['accessible', 'simple', 'clear', 'smooth', 'obvious', 'apparent', 'basic', 'elementary', 'evident', 'light', 'little', 'mere', 'plain', 'royal', 'slight', 'snap', 'yielding']"
simple,"['plain', 'smooth', 'quiet', 'clean', 'elementary', 'light', 'mild']"
plain,"['patent', 'broad', 'open', 'apparent', 'distinct', 'evident', 'visible']"
patent,"['controlled', 'limited', 'plain', 'clear', 'rank', 'exclusive', 'open', 'apparent', 'distinct', 'evident', 'obvious', 'prominent']"
rank,"['off', 'offensive', 'high', 'bad', 'nasty', 'strong', 'turned']"
off,"['outside', 'slight', 'finished', 'small', 'canceled']"
outside,"['foreign', 'farther', 'out', 'outdoor', 'over', 'surface', 'alien', 'extreme', 'farthest', 'furthest', 'outer']"
foreign,"['different', 'alien', 'external', 'strange', 'borrowed', 'distant', 'exotic', 'far', 'immigrant', 'outside', 'remote', 'unknown', 'derived', 'adopted']"
alien,"['exotic', 'unusual', 'conflicting', 'remote', 'separate', 'opposed']"
unusual,"['unexpected', 'remarkable', 'curious', 'odd', 'special', 'incredible', 'amazing', 'strange', 'extraordinary', 'significant', 'unique', 'rare', 'surprising', 'distinguished', 'outstanding', 'prominent']"
unexpected,"['wonderful', 'amazing', 'sudden', 'chance']"
wonderful,"['fantastic', 'remarkable', 'outstanding', 'fine', 'incredible', 'tremendous', 'terrific', 'amazing', 'pleasing', 'pleasant', 'excellent', 'surprising', 'brilliant', 'prime', 'super', 'swell', 'strange']"
fine,"['beautiful', 'outstanding', 'elegant', 'subtle', 'expensive', 'superior', 'handsome', 'striking', 'attractive', 'lovely', 'smart', 'pleasant', 'great', 'rare', 'solid', 'accomplished', 'top', 'capital', 'choice', 'select', 'mean']"
elegant,"['grand', 'simple', 'delicate', 'neat', 'classic', 'handsome', 'affected', 'appropriate', 'artistic', 'choice', 'effective', 'fine', 'nice', 'rare', 'rich', 'select', 'superior']"
grand,"['large', 'imposing', 'ambitious', 'striking', 'super', 'rich', 'fine', 'excellent', 'outstanding', 'terrific']"
imposing,"['striking', 'commanding', 'massive', 'grand', 'towering', 'overwhelming', 'exciting', 'moving', 'stirring', 'big', 'effective', 'royal']"
striking,"['fascinating', 'powerful', 'marked', 'unusual', 'remarkable', 'outstanding', 'arresting', 'wonderful', 'compelling', 'telling', 'surprising', 'handsome', 'impressive', 'signal', 'charming', 'commanding', 'distinguished', 'attractive', 'prominent']"
powerful,"['dominant', 'impressive', 'capable', 'influential', 'dynamic', 'compelling', 'able', 'commanding', 'controlling', 'convincing', 'prevailing', 'ruling', 'telling']"
compelling,['fascinating']
commanding,"['dominant', 'impressive', 'imposing', 'compelling', 'dominating', 'arresting', 'controlling', 'striking']"
dominating,[]
controlling,"['governing', 'regulating']"
governing,"['administrative', 'dominant', 'ruling', 'executive', 'determining', 'controlling', 'dominating', 'absolute', 'influential', 'regulatory', 'guiding', 'conducting', 'ordering', 'overseeing', 'directing', 'mastering']"
administrative,"['regulatory', 'central', 'commanding', 'controlling', 'deciding', 'executive', 'governing', 'official', 'ruling', 'directing']"
regulatory,"['administrative', 'governing', 'managing']"
managing,"['leading', 'governing', 'handling', 'controlling', 'operating', 'regulating', 'overseeing', 'executing', 'advising', 'guiding', 'administering', 'organizing', 'steering']"
operating,"['running', 'performing', 'serving', 'driving', 'managing', 'moving', 'using', 'determining', 'directing', 'executing', 'spinning', 'sustaining', 'manipulating', 'accomplishing', 'administering', 'turning', 'maintaining', 'conducting', 'practicing', 'ordering', 'regulating', 'guiding', 'finishing']"
running,"['functioning', 'constant', 'working', 'proceeding', 'dynamic', 'smooth', 'live', 'going', 'moving', 'active', 'producing', 'alive', 'easy', 'together', 'executing']"
functioning,"['functional', 'working', 'running', 'going', 'operating', 'useful']"
functional,"['practical', 'useful', 'utility']"
practical,"['rational', 'efficient', 'functional', 'reasonable', 'possible', 'applied', 'experimental', 'solid', 'sound', 'virtual', 'working']"
rational,"['wise', 'normal', 'logical', 'reasonable', 'stable', 'balanced', 'intelligent', 'knowing', 'sound', 'thinking', 'intellectual', 'calm', 'objective', 'reasoning', 'collected', 'together']"
normal,"['natural', 'traditional', 'regular', 'routine', 'ordinary', 'typical', 'average', 'general', 'standard', 'mean', 'acknowledged', 'conventional', 'popular']"
traditional,"['conventional', 'old', 'classical', 'classic', 'universal', 'historic', 'regular', 'common', 'popular', 'acceptable', 'acknowledged', 'fixed', 'folk', 'oral', 'rooted', 'sanctioned', 'widespread', 'transmitted']"
conventional,"['traditional', 'current', 'ordinary', 'regular', 'typical', 'accepted', 'correct', 'everyday', 'expected', 'formal', 'general', 'plain', 'popular', 'prevailing', 'proper', 'ritual', 'routine', 'square', 'standard', 'stereotyped', 'straight', 'usual', 'well-known']"
current,"['modern', 'ongoing', 'present', 'prevailing', 'instant', 'general', 'ruling', 'in', 'accepted', 'doing', 'popular', 'widespread', 'swinging']"
modern,"['contemporary', 'current', 'novel', 'present', 'latest', 'now', 'recent', 'fresh', 'late', 'prevailing']"
contemporary,"['new', 'instant', 'current', 'present', 'recent', 'now', 'latest']"
new,"['late', 'different', 'modern', 'unusual', 'contemporary', 'current', 'strange', 'unique', 'original', 'advanced', 'recent', 'distinct', 'latest', 'novel', 'unknown', 'unlike']"
late,"['slow', 'behind', 'blown', 'delayed', 'gone', 'stayed']"
slow,"['heavy', 'quiet', 'easy', 'moderate', 'reluctant', 'delaying', 'crawling', 'measured']"
quiet,"['soft', 'silent', 'peaceful', 'reserved', 'low', 'close', 'still', 'dumb', 'quieted', 'stilled']"
soft,"['comfortable', 'smooth', 'rounded', 'plastic', 'thin', 'easy', 'flexible', 'delicate', 'fine', 'flowing', 'fluid', 'yielding']"
comfortable,"['satisfying', 'useful', 'healthy', 'relaxed', 'loose', 'pleasant', 'appropriate', 'easy', 'soft', 'pleased', 'warm', 'happy', 'adequate', 'contented', 'protected', 'relieved', 'rested', 'restored', 'sheltered', 'enjoying', 'relaxing', 'strengthened']"
satisfying,"['sweet', 'rewarding', 'pleasing', 'pleasant', 'favorable']"
rewarding,"['satisfying', 'valuable', 'productive']"
valuable,"['relevant', 'useful', 'helpful', 'costly', 'important', 'expensive', 'dear', 'precious', 'respected', 'prized', 'treasured', 'admired', 'appreciated']"
costly,"['valuable', 'dear', 'excessive', 'executive', 'high', 'precious', 'premium', 'steep', 'top']"
dear,"['pet', 'familiar', 'close', 'intimate', 'loved', 'precious', 'respected', 'prized', 'treasured']"
pet,"['loved', 'favored', 'preferred', 'dear', 'special', 'precious', 'dearest']"
loved,"['beloved', 'precious']"
beloved,"['loved', 'dear', 'favorite', 'respected', 'popular', 'sweet', 'pleasing', 'precious', 'admired', 'prized', 'treasured', 'dearest']"
favorite,"['favored', 'beloved', 'popular', 'main', 'intimate', 'choice', 'personal', 'dear', 'liked', 'pleasant', 'precious', 'prized', 'treasured', 'dearest', 'admired', 'desired']"
favored,"['recommended', 'selected', 'preferred', 'chosen', 'blessed', 'elite', 'lucky']"
recommended,"['suggested', 'supported', 'favored', 'selected', 'praised', 'endorsed', 'approved', 'mentioned', 'sanctioned', 'advocated']"
suggested,"['recommended', 'implied', 'proposed', 'advised', 'indicated', 'reminded', 'advanced', 'advocated', 'hinted', 'offered', 'counseled', 'prompted']"
implied,"['hidden', 'suggested', 'intended', 'indicated', 'involved', 'understood', 'inherent', 'potential', 'meant', 'figured']"
hidden,"['mysterious', 'unknown', 'private', 'dark', 'invisible', 'covered', 'buried', 'screened', 'masked', 'close', 'clouded']"
mysterious,"['puzzling', 'unknown', 'dark', 'strange', 'curious', 'weird', 'difficult', 'hidden', 'spiritual', 'symbolic']"
puzzling,"['surprising', 'difficult', 'involved', 'hard']"
surprising,"['remarkable', 'amazing', 'extraordinary', 'sudden', 'wonderful', 'shocking', 'chance']"
amazing,"['fascinating', 'surprising', 'incredible', 'wonderful', 'shocking']"
bad,"['poor', 'cheap', 'sad', 'awful', 'rough', 'garbage', 'off']"
poor,"['low', 'suffering', 'reduced']"
low,"['small', 'flat', 'little', 'below', 'depressed', 'lowering', 'shallow', 'sunken', 'bottom', 'level', 'deep', 'minor', 'junior', 'beneath', 'lesser', 'profound', 'under']"
small,"['poor', 'limited', 'short', 'slight', 'young', 'modest', 'narrow', 'little', 'toy', 'baby', 'minute']"
short,"['precise', 'brief', 'pointed', 'little', 'summary', 'bare', 'short-term', 'diminished', 'decreased']"
brief,"['limited', 'little', 'small', 'sharp']"
little,"['slight', 'limited', 'infant', 'short', 'light', 'young', 'brief', 'toy', 'peanut', 'junior', 'minute', 'tiny']"
slight,"['modest', 'minor', 'off', 'fat', 'outside', 'remote', 'weak']"
modest,"['simple', 'quiet', 'moderate', 'nice', 'proper', 'reserved', 'resigned', 'retiring', 'silent', 'withdrawing']"
moderate,"['limited', 'soft', 'steady', 'modest', 'conservative', 'pleasant', 'gentle', 'mild', 'reasonable', 'balanced', 'neutral', 'even', 'controlled', 'considered', 'straight', 'reserved', 'measured', 'cool', 'careful', 'compromising']"
conservative,"['traditional', 'firm', 'right', 'constant', 'steady', 'quiet', 'stable', 'conventional', 'guarded', 'controlled']"
right,"['good', 'legal', 'honest', 'appropriate', 'legitimate', 'proper', 'suitable', 'deserved', 'due', 'merited', 'fitting', 'moral', 'ethical', 'true']"
legal,"['fair', 'constitutional', 'valid', 'legitimate', 'proper', 'acknowledged', 'authorized', 'due', 'enforced', 'granted', 'innocent', 'judicial', 'just', 'protected', 'right', 'sanctioned', 'sound', 'straight', 'allowed', 'chartered', 'judged', 'justified', 'passed']"
constitutional,"['essential', 'organic', 'natural', 'vital']"
essential,"['necessary', 'crucial', 'needed', 'fundamental', 'main', 'leading', 'chief', 'capital', 'principal', 'required', 'wanted']"
needed,"['vital', 'required', 'necessary', 'essential', 'desired']"
vital,"['necessary', 'key', 'needed', 'fundamental', 'crucial', 'important', 'critical', 'significant', 'basic', 'meaningful', 'name', 'required']"
critical,"['demanding', 'biting', 'critic', 'cutting', 'exacting', 'lowering', 'particular', 'severe', 'sharp', 'condemning']"
cutting,"['raw', 'pointed', 'biting', 'sharp', 'acid', 'bitter', 'severe', 'wounding']"
raw,"['organic', 'natural', 'rough', 'basic', 'fresh', 'green', 'native', 'bloody', 'hard']"
organic,"['biological', 'prime', 'living', 'necessary', 'constitutional', 'primary', 'original', 'fundamental', 'essential', 'principal', 'inherent', 'live', 'structural', 'vital']"
biological,"['organic', 'life', 'living']"
living,"['breathing', 'contemporary', 'dynamic', 'continuing', 'current', 'live', 'warm', 'awake', 'alive', 'around', 'ongoing', 'strong', 'vital', 'persisting', 'developing']"
breathing,['panting']
dead,"['late', 'asleep', 'buried', 'cold', 'departed', 'stiff', 'gone', 'wasted']"
buried,"['covered', 'hidden']"
covered,"['painted', 'protected', 'closed', 'wrapped', 'hidden', 'bound', 'masked', 'sheltered', 'coated', 'topped', 'capped', 'surfaced']"
painted,"['illustrated', 'composed', 'colored', 'outlined', 'drawn', 'designed', 'depicted', 'pictured']"
illustrated,"['wrought', 'decorated', 'depicted', 'portrayed', 'pictured']"
wrought,"['finished', 'processed', 'fashioned', 'worked', 'elaborated', 'shaped', 'formed', 'created', 'constructed']"
finished,"['smooth', 'accomplished', 'perfected', 'classic', 'elegant', 'expert', 'professional', 'skilled']"
smooth,"['gentle', 'mild', 'easy', 'stable', 'flat', 'continuous', 'fluid', 'peaceful', 'soft', 'steady', 'quiet', 'even', 'plain', 'uniform', 'plane', 'still', 'regular']"
gentle,"['quiet', 'pleasant', 'tender', 'moderate', 'soft', 'taught', 'trained', 'pleasing', 'easy', 'peaceful']"
tender,"['delicate', 'weak']"
delicate,"['rare', 'gentle', 'fragile', 'mild', 'elegant', 'tender', 'subtle', 'soft', 'choice', 'faint', 'fine', 'nice', 'pale', 'select', 'slight', 'superior']"
rare,"['limited', 'unusual', 'occasional', 'extraordinary', 'strange', 'unlikely', 'subtle', 'unique', 'few', 'isolated', 'light', 'scattered', 'seldom', 'short', 'thin']"
occasional,"['unusual', 'rare', 'random', 'particular', 'odd', 'casual', 'exclusive', 'few', 'seldom', 'special', 'specific']"
random,"['odd', 'casual', 'spot']"
odd,"['different', 'casual', 'chance', 'occasional', 'random', 'varied']"
casual,"['occasional', 'odd', 'uncertain', 'unexpected']"
planned,"['prepared', 'outlined', 'programmed']"
outlined,"['marked', 'defined', 'banded', 'bordered', 'edged']"
marked,"['remarkable', 'striking', 'distinct', 'decided', 'considerable', 'noted', 'signal', 'patent', 'clear', 'arresting', 'pointed', 'evident', 'outstanding', 'prominent']"
decided,"['sure', 'distinct', 'determined', 'settled', 'assured', 'clear', 'express', 'absolute', 'explicit', 'positive', 'resolved', 'nailed']"
determined,"['dogged', 'serious', 'firm', 'set', 'pat', 'bent', 'decided', 'fixed', 'settled', 'constant', 'intent', 'solid', 'resolved']"
dogged,"['firm', 'steady']"
yielding,"['resigned', 'easy', 'flexible']"
resigned,"['satisfied', 'gentle', 'yielding', 'quiet', 'ready', 'willing', 'calm', 'adapted', 'patient', 'philosophical', 'adjusted', 'accommodated']"
ready,"['accessible', 'qualified', 'set', 'fit', 'completed', 'organized', 'primed', 'near', 'equipped', 'covered', 'adjusted', 'arranged', 'waiting', 'anticipating']"
qualified,"['experienced', 'talented', 'capable', 'efficient', 'licensed', 'accomplished', 'trained', 'equipped', 'adequate', 'proved', 'tried', 'fit', 'instructed', 'tested', 'examined', 'practiced', 'fitted', 'expert', 'good', 'proper', 'veteran']"
talented,"['capable', 'brilliant', 'skilled', 'accomplished', 'intelligent', 'smart', 'able', 'artistic', 'expert']"
brilliant,"['bright', 'intense']"
bright,"['golden', 'brilliant', 'sunny', 'intense', 'beaming', 'burning', 'light', 'flashing', 'lighted']"
golden,"['brilliant', 'bright', 'rich', 'shining', 'best', 'excellent', 'favorable', 'happy', 'precious', 'promising', 'successful', 'valuable']"
rich,"['easy', 'fat', 'wealthy', 'independent', 'swimming', 'comfortable', 'loaded']"
wealthy,"['independent', 'comfortable', 'loaded', 'substantial', 'booming']"
independent,"['separate', 'absolute', 'separated']"
separate,"['independent', 'free', 'isolated', 'abstracted', 'distributed', 'divided', 'loose', 'scattered', 'marked', 'removed', 'apart', 'distant', 'parted', 'divorced']"
free,[]
expensive,"['costly', 'high', 'valuable', 'dear', 'excessive', 'rich']"
high,"['huge', 'great', 'tremendous', 'big', 'long', 'large', 'soaring', 'steep', 'giant', 'flying', 'grand', 'towering']"
long,"['great', 'deep', 'high', 'tall', 'stretch', 'running', 'enduring', 'towering', 'sustained', 'distant', 'extensive', 'remote', 'expanded', 'stretching', 'stretched', 'continued']"
deep,"['wide', 'rooted', 'profound', 'far', 'broad', 'buried', 'low', 'below', 'beneath', 'distant', 'sunk']"
wide,"['full', 'broad', 'loose', 'deep', 'large', 'extensive', 'vast', 'advanced', 'comprehensive', 'general', 'liberal', 'open', 'progressive', 'radical', 'sweeping', 'universal', 'expanded']"
loose,"['relaxed', 'easy', 'hanging', 'escaped', 'floating', 'separate', 'free', 'released', 'clear', 'apart']"
hanging,"['projecting', 'suspended', 'swinging']"
projecting,"['prominent', 'proud']"
prominent,"['outstanding', 'extended', 'marked', 'obvious', 'projecting', 'raised', 'relieved', 'remarkable', 'rough', 'signal', 'striking', 'arresting']"
extended,"['long', 'spread', 'continued', 'unfolded']"
unfolded,"['spread', 'extend', 'straighten', 'fan', 'release', 'open', 'display', 'expand']"
lower,"['junior', 'reduced', 'minor', 'low', 'secondary', 'lesser', 'smaller', 'under', 'diminished', 'decreased']"
junior,"['lower', 'second', 'minor', 'secondary', 'lesser']"
second,"['supporting', 'lower', 'extra', 'double', 'twin', 'place', 'following', 'further', 'alternative', 'repeated', 'secondary', 'additional', 'another', 'lesser', 'other', 'subsequent', 'succeeding']"
double,"['second', 'twin', 'paired', 'repeated', 'twice', 'coupled']"
twin,"['like', 'joint', 'double', 'accompanying', 'same', 'paired', 'second', 'identical', 'coupled', 'copied']"
like,"['comparable', 'alike', 'related', 'twin', 'close', 'same', 'uniform', 'resembling', 'equivalent', 'double', 'equal', 'near', 'consistent', 'identical', 'such', 'relating', 'equaling']"
comparable,"['equal', 'equivalent']"
equivalent,"['identical', 'comparable', 'equal', 'even', 'correspondent', 'like', 'carbon', 'copy', 'alike']"
even,"['alike', 'square', 'constant', 'smooth', 'direct', 'right', 'balanced', 'same', 'stable', 'plane', 'level', 'straight', 'steady', 'equal', 'regular', 'consistent', 'continuous', 'surfaced', 'true']"
alike,"['identical', 'similar', 'like', 'comparable', 'correspondent', 'double', 'equal', 'equivalent', 'even', 'related', 'resembling', 'same', 'uniform', 'associated', 'mated']"
similar,"['identical', 'comparable', 'related', 'like', 'companion', 'resembling', 'same', 'twin', 'uniform']"
related,"['relevant', 'similar', 'linked', 'like', 'joint', 'alike', 'correspondent', 'dependent', 'incident', 'mutual', 'associated']"
linked,"['related', 'combined', 'joined', 'associated', 'coupled']"
joined,"['involved', 'married', 'united', 'related', 'combined', 'touching', 'connected', 'accompanying', 'paired', 'mixed', 'associated', 'coupled', 'attached', 'blended', 'banded']"
married,"['united', 'joined', 'mated']"
united,"['linked', 'cooperative', 'integrated', 'incorporated', 'collective', 'corporate', 'one', 'pooled', 'associated', 'agreed', 'banded', 'leagued', 'assembled']"
cooperative,"['united', 'collective', 'team', 'common', 'combining', 'agreeing', 'combined', 'shared', 'coordinated', 'uniting', 'joining', 'participating']"
collective,"['mutual', 'shared', 'corporate', 'joint', 'common', 'cooperative', 'combined', 'concentrated', 'gathered', 'united', 'assembled', 'grouped', 'piled']"
mutual,"['collective', 'connected', 'dependent', 'joint', 'public', 'related', 'returned', 'united', 'associated', 'participated']"
connected,"['united', 'linked', 'combined', 'joined', 'consecutive', 'associated', 'coupled']"
consecutive,"['after', 'connected', 'constant', 'continuing', 'continuous', 'following', 'increasing', 'later', 'logical', 'progressive', 'running', 'succeeding']"
after,"['later', 'back', 'behind', 'below', 'next', 'rear', 'succeeding']"
later,"['next', 'following', 'subsequent', 'more recent', 'succeeding']"
next,"['later', 'after', 'alongside', 'beside', 'close', 'coming', 'following', 'meeting', 'neighboring', 'subsequent', 'touching', 'attached', 'closest', 'nearest', 'succeeding']"
close,"['warm', 'neighboring', 'approaching', 'immediate', 'nearly', 'next', 'nearest']"
neighboring,"['nearby', 'bordering', 'close', 'near', 'beside']"
nearby,"['neighboring', 'close', 'immediate', 'ready']"
immediate,"['prompt', 'actual', 'critical', 'current', 'existing', 'first', 'instant', 'live', 'next', 'now', 'present', 'pressing']"
prompt,"['precise', 'rapid', 'efficient', 'immediate', 'quick', 'instant', 'eager', 'willing', 'ready', 'smart']"
rapid,"['fast', 'accelerated', 'flying', 'prompt', 'express', 'active', 'ready', 'fleet', 'hurried', 'screaming']"
fast,"['rapid', 'hot', 'quick', 'electric', 'flying', 'hurried', 'ready', 'accelerated', 'fleet', 'racing', 'active', 'flashing']"
hot,"['tropical', 'boiling', 'warm', 'heated', 'burning', 'close', 'flaming', 'baking', 'piping']"
tropical,"['hot', 'close']"
freezing,"['biting', 'raw', 'cutting', 'bitter', 'chill', 'chilled']"
chill,"['freezing', 'biting', 'sharp', 'cool']"
cool,"['biting', 'chilling', 'chill', 'chilled']"
chilling,['shocking']
excited,"['nervous', 'delighted', 'eager', 'disturbed', 'moved', 'provoked', 'stimulated', 'charged', 'wild', 'stirred']"
eager,"['ambitious', 'longing', 'intent', 'wild', 'desiring', 'heated', 'pining']"
ambitious,"['determined', 'aggressive', 'anxious', 'designing', 'driving', 'eager', 'hungry', 'inspired', 'intent', 'longing', 'pushing', 'sharp', 'soaring', 'climbing']"
driving,"['sweeping', 'dynamic', 'compelling', 'active', 'urging', 'violent']"
sweeping,"['broad', 'comprehensive', 'radical', 'extensive', 'full', 'complete', 'blanket', 'overall', 'general', 'global', 'vast', 'wide']"
radical,"['profound', 'natural', 'bottom', 'constitutional', 'primary', 'original', 'organic', 'essential', 'native', 'inherent', 'underlying', 'vital']"
profound,"['philosophical', 'deep', 'serious', 'subtle', 'intelligent', 'difficult', 'informed', 'intellectual', 'knowing', 'learned', 'mysterious', 'secret', 'skilled', 'wise']"
philosophical,"['profound', 'abstract', 'logical', 'rational', 'calm', 'composed', 'deep', 'learned', 'resigned', 'wise']"
abstract,"['philosophical', 'ideal', 'complex', 'deep', 'intellectual']"
complex,"['complicated', 'compound', 'multiple', 'confused', 'elaborate', 'mixed', 'compounded']"
complicated,"['hard', 'sophisticated', 'difficult', 'puzzling', 'involved', 'elaborate', 'mixed', 'various']"
sophisticated,"['practical', 'knowing', 'experienced', 'practiced', 'smooth', 'seasoned', 'studied', 'bored', 'adult', 'artificial', 'sharp', 'in', 'schooled']"
knowing,"['brilliant', 'sophisticated', 'intelligent', 'wise', 'intended', 'expert', 'qualified', 'awake', 'quick', 'sharp', 'smart', 'alive', 'bright', 'conscious']"
intelligent,"['wise', 'brilliant', 'creative', 'bright', 'smart', 'rational', 'original', 'able', 'alive', 'calculating', 'capable', 'instructed', 'knowing', 'profound', 'quick', 'ready', 'reasonable', 'responsible', 'sharp', 'thinking', 'understanding']"
creative,"['gifted', 'productive', 'innovative', 'original', 'inspired', 'stimulating']"
gifted,"['brilliant', 'accomplished', 'skilled', 'smart', 'capable', 'able', 'expert', 'mad']"
accomplished,"['talented', 'gifted', 'practiced', 'able', 'expert', 'sharp']"
practiced,"['skilled', 'able', 'expert', 'exercised']"
skilled,"['experienced', 'able', 'expert']"
expert,"['experienced', 'skilled', 'trained', 'crack', 'professional', 'sharp', 'able', 'practiced', 'qualified', 'schooled']"
trained,"['experienced', 'skilled', 'qualified', 'schooled']"
unable,['weak']
sufficient,"['acceptable', 'appreciate', 'comfortable', 'common', 'decent', 'due', 'pleasing', 'plenty']"
acceptable,"['fair', 'decent', 'sufficient', 'common', 'adequate', 'average', 'large', 'okay', 'pleasant', 'pleasing', 'standard', 'welcome']"
decent,"['good', 'honest', 'modest', 'proper', 'correct', 'right', 'approved', 'becoming', 'clean', 'continent', 'delicate', 'ethical', 'fit', 'fitting', 'moral', 'nice', 'pure', 'reserved', 'standard', 'straight', 'suitable']"
honest,"['genuine', 'fair', 'decent', 'proper', 'reliable', 'direct', 'ethical', 'just', 'open', 'plain', 'real', 'straight', 'true']"
