contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
powerful,"['dominant', 'impressive', 'capable', 'influential', 'dynamic', 'compelling', 'able', 'commanding', 'controlling', 'convincing', 'prevailing', 'ruling', 'telling']","['unable', 'weak']"
compelling,['fascinating'],[]
commanding,"['dominant', 'impressive', 'imposing', 'compelling', 'dominating', 'arresting', 'controlling', 'striking']","['modest', 'secondary', 'weak']"
dominating,[],['secondary']
governing,"['administrative', 'dominant', 'ruling', 'executive', 'determining', 'controlling', 'dominating', 'absolute', 'influential', 'regulatory', 'guiding', 'conducting', 'ordering', 'overseeing', 'directing', 'mastering']",[]
managing,"['leading', 'governing', 'handling', 'controlling', 'operating', 'regulating', 'overseeing', 'executing', 'advising', 'guiding', 'administering', 'organizing', 'steering']",[]
running,"['functioning', 'constant', 'working', 'proceeding', 'dynamic', 'smooth', 'live', 'going', 'moving', 'active', 'producing', 'alive', 'easy', 'together', 'executing']","['occasional', 'broken']"
functioning,"['functional', 'working', 'running', 'going', 'operating', 'useful']",[]
functional,"['practical', 'useful', 'utility']",['broken']
practical,"['rational', 'efficient', 'functional', 'reasonable', 'possible', 'applied', 'experimental', 'solid', 'sound', 'virtual', 'working']","['excited', 'unlikely', 'impossible']"
rational,"['wise', 'normal', 'logical', 'reasonable', 'stable', 'balanced', 'intelligent', 'knowing', 'sound', 'thinking', 'intellectual', 'calm', 'objective', 'reasoning', 'collected', 'together']","['stupid', 'excited', 'ridiculous', 'confused']"
normal,"['natural', 'traditional', 'regular', 'routine', 'ordinary', 'typical', 'average', 'general', 'standard', 'mean', 'acknowledged', 'conventional', 'popular']","['unusual', 'extraordinary', 'different', 'rare', 'extreme', 'odd', 'strange']"
traditional,"['conventional', 'old', 'classical', 'classic', 'universal', 'historic', 'regular', 'common', 'popular', 'acceptable', 'acknowledged', 'fixed', 'folk', 'oral', 'rooted', 'sanctioned', 'widespread', 'transmitted']","['unusual', 'modern', 'extraordinary', 'different', 'new', 'rare', 'fresh']"
conventional,"['traditional', 'current', 'ordinary', 'regular', 'typical', 'accepted', 'correct', 'everyday', 'expected', 'formal', 'general', 'plain', 'popular', 'prevailing', 'proper', 'ritual', 'routine', 'square', 'standard', 'stereotyped', 'straight', 'usual', 'well-known']","['unusual', 'extraordinary', 'exotic', 'different', 'rare', 'foreign', 'strange', 'new', 'original', 'unique']"
current,"['modern', 'ongoing', 'present', 'prevailing', 'instant', 'general', 'ruling', 'in', 'accepted', 'doing', 'popular', 'widespread', 'swinging']","['old-fashioned', 'old', 'past']"
modern,"['contemporary', 'current', 'novel', 'present', 'latest', 'now', 'recent', 'fresh', 'late', 'prevailing']","['old-fashioned', 'future', 'ancient', 'old', 'past']"
contemporary,"['new', 'instant', 'current', 'present', 'recent', 'now', 'latest']","['future', 'old-fashioned', 'old', 'past', 'succeeding']"
new,"['late', 'different', 'modern', 'unusual', 'contemporary', 'current', 'strange', 'unique', 'original', 'advanced', 'recent', 'distinct', 'latest', 'novel', 'unknown', 'unlike']","['old-fashioned', 'like', 'similar', 'standard', 'usual', 'future', 'worn', 'existing', 'old', 'normal', 'common', 'familiar', 'regular', 'past']"
late,"['slow', 'behind', 'blown', 'delayed', 'gone', 'stayed']","['prompt', 'old-fashioned', 'early', 'old', 'live']"
slow,"['heavy', 'quiet', 'easy', 'moderate', 'reluctant', 'delaying', 'crawling', 'measured']","['complicated', 'hurried', 'rapid', 'intelligent', 'moving', 'complex', 'active', 'busy', 'fast', 'quick', 'ready', 'waiting', 'smart']"
quiet,"['soft', 'silent', 'peaceful', 'reserved', 'low', 'close', 'still', 'dumb', 'quieted', 'stilled']","['complicated', 'loud', 'troubled', 'complex']"
soft,"['comfortable', 'smooth', 'rounded', 'plastic', 'thin', 'easy', 'flexible', 'delicate', 'fine', 'flowing', 'fluid', 'yielding']","['healthy', 'intelligent', 'rough', 'unhappy', 'stiff', 'difficult', 'hard', 'heavy', 'strong', 'harsh', 'loud', 'severe', 'strict', 'firm', 'well', 'smart']"
comfortable,"['satisfying', 'useful', 'healthy', 'relaxed', 'loose', 'pleasant', 'appropriate', 'easy', 'soft', 'pleased', 'warm', 'happy', 'adequate', 'contented', 'protected', 'relieved', 'rested', 'restored', 'sheltered', 'enjoying', 'relaxing', 'strengthened']","['upset', 'unhappy', 'troubled', 'uncomfortable', 'strict', 'cold', 'cool', 'hard', 'poor']"
satisfying,"['sweet', 'rewarding', 'pleasing', 'pleasant', 'favorable']","['unhappy', 'troubling']"
rewarding,"['satisfying', 'valuable', 'productive']","['upsetting', 'troubling']"
valuable,"['relevant', 'useful', 'helpful', 'costly', 'important', 'expensive', 'dear', 'precious', 'respected', 'prized', 'treasured', 'admired', 'appreciated']","['cheap', 'reasonable']"
costly,"['valuable', 'dear', 'excessive', 'executive', 'high', 'precious', 'premium', 'steep', 'top']","['helpful', 'cheap', 'reasonable', 'poor', 'aiding']"
dear,"['pet', 'familiar', 'close', 'intimate', 'loved', 'precious', 'respected', 'prized', 'treasured']","['cool', 'common', 'cheap']"
pet,"['loved', 'favored', 'preferred', 'dear', 'special', 'precious', 'dearest']","['hated', 'common']"
beloved,"['loved', 'dear', 'favorite', 'respected', 'popular', 'sweet', 'pleasing', 'precious', 'admired', 'prized', 'treasured', 'dearest']",['hated']
favorite,"['favored', 'beloved', 'popular', 'main', 'intimate', 'choice', 'personal', 'dear', 'liked', 'pleasant', 'precious', 'prized', 'treasured', 'dearest', 'admired', 'desired']","['hated', 'public']"
favored,"['recommended', 'selected', 'preferred', 'chosen', 'blessed', 'elite', 'lucky']",[]
recommended,"['suggested', 'supported', 'favored', 'selected', 'praised', 'endorsed', 'approved', 'mentioned', 'sanctioned', 'advocated']",['discouraged']
implied,"['hidden', 'suggested', 'intended', 'indicated', 'involved', 'understood', 'inherent', 'potential', 'meant', 'figured']","['explicit', 'stated', 'open', 'expressed']"
hidden,"['mysterious', 'unknown', 'private', 'dark', 'invisible', 'covered', 'buried', 'screened', 'masked', 'close', 'clouded']","['obvious', 'known', 'visible', 'exhibited', 'out', 'uncovered', 'open', 'public', 'apparent', 'clear', 'plain', 'disclosed', 'revealed', 'bright', 'bare', 'exposed', 'seen', 'showing']"
mysterious,"['puzzling', 'unknown', 'dark', 'strange', 'curious', 'weird', 'difficult', 'hidden', 'spiritual', 'symbolic']","['known', 'obvious', 'evident', 'visible', 'usual', 'clear', 'plain', 'familiar', 'bright', 'apparent', 'normal', 'regular', 'public']"
puzzling,"['surprising', 'difficult', 'involved', 'hard']","['explicit', 'clear']"
surprising,"['remarkable', 'amazing', 'extraordinary', 'sudden', 'wonderful', 'shocking', 'chance']","['usual', 'normal', 'ordinary', 'expected']"
amazing,"['fascinating', 'surprising', 'incredible', 'wonderful', 'shocking']","['bad', 'poor', 'ordinary']"
bad,"['poor', 'cheap', 'sad', 'awful', 'rough', 'garbage', 'off']","['lucky', 'pleasing', 'wonderful', 'OK', 'honest', 'superior', 'great', 'happy', 'sophisticated', 'good', 'right', 'just', 'true']"
poor,"['low', 'suffering', 'reduced']","['wealthy', 'adequate', 'sufficient', 'lucky', 'rich', 'full', 'superior', 'strong', 'great', 'happy']"
low,"['small', 'flat', 'little', 'below', 'depressed', 'lowering', 'shallow', 'sunken', 'bottom', 'level', 'deep', 'minor', 'junior', 'beneath', 'lesser', 'profound', 'under']","['enormous', 'huge', 'large', 'increased', 'honest', 'moral', 'healthy', 'big', 'important', 'raised', 'above', 'high', 'tall', 'prominent', 'decent', 'rich', 'gay', 'happy', 'strong', 'well']"
small,"['poor', 'limited', 'short', 'slight', 'young', 'modest', 'narrow', 'little', 'toy', 'baby', 'minute']","['wealthy', 'adequate', 'sufficient', 'large', 'huge', 'giant', 'useful', 'enormous', 'distinguished', 'excellent', 'famous', 'kind', 'rich', 'great', 'tall', 'thick', 'important', 'significant', 'substantial', 'big', 'fat', 'liberal', 'wide', 'generous', 'fine', 'giving']"
short,"['precise', 'brief', 'pointed', 'little', 'summary', 'bare', 'short-term', 'diminished', 'decreased']","['enduring', 'large', 'adequate', 'enough', 'sufficient', 'kind', 'long', 'high', 'tall', 'thick']"
brief,"['limited', 'little', 'small', 'sharp']","['enormous', 'huge', 'large', 'kind', 'enduring', 'big', 'important', 'long']"
little,"['slight', 'limited', 'infant', 'short', 'light', 'young', 'brief', 'toy', 'peanut', 'junior', 'minute', 'tiny']","['adequate', 'sufficient', 'large', 'huge', 'older', 'giant', 'enormous', 'massive', 'big', 'fat', 'long', 'tall', 'substantial', 'great', 'important', 'open']"
slight,"['modest', 'minor', 'off', 'fat', 'outside', 'remote', 'weak']","['large', 'useful', 'likely', 'important', 'major', 'significant', 'big', 'great', 'tall', 'thick']"
modest,"['simple', 'quiet', 'moderate', 'nice', 'proper', 'reserved', 'resigned', 'retiring', 'silent', 'withdrawing']","['complicated', 'brave', 'extraordinary', 'complex', 'assured', 'bold', 'proud']"
moderate,"['limited', 'soft', 'steady', 'modest', 'conservative', 'pleasant', 'gentle', 'mild', 'reasonable', 'balanced', 'neutral', 'even', 'controlled', 'considered', 'straight', 'reserved', 'measured', 'cool', 'careful', 'compromising']","['biased', 'unfair', 'excited', 'friendly', 'excessive', 'violent', 'wild', 'bright', 'harsh', 'loud', 'rough', 'strong', 'different', 'partial', 'extreme', 'considerable', 'liberal', 'significant']"
conservative,"['traditional', 'firm', 'right', 'constant', 'steady', 'quiet', 'stable', 'conventional', 'guarded', 'controlled']","['progressive', 'weak', 'liberal', 'radical']"
right,"['good', 'legal', 'honest', 'appropriate', 'legitimate', 'proper', 'suitable', 'deserved', 'due', 'merited', 'fitting', 'moral', 'ethical', 'true']","['evil', 'illegal', 'unfair', 'false', 'wrong', 'mad', 'left']"
legal,"['fair', 'constitutional', 'valid', 'legitimate', 'proper', 'acknowledged', 'authorized', 'due', 'enforced', 'granted', 'innocent', 'judicial', 'just', 'protected', 'right', 'sanctioned', 'sound', 'straight', 'allowed', 'chartered', 'judged', 'justified', 'passed']","['illegal', 'wrong']"
constitutional,"['essential', 'organic', 'natural', 'vital']","['learned', 'contracted']"
essential,"['necessary', 'crucial', 'needed', 'fundamental', 'main', 'leading', 'chief', 'capital', 'principal', 'required', 'wanted']","['voluntary', 'extra', 'minor', 'secondary']"
needed,"['vital', 'required', 'necessary', 'essential', 'desired']",[]
vital,"['necessary', 'key', 'needed', 'fundamental', 'crucial', 'important', 'critical', 'significant', 'basic', 'meaningful', 'name', 'required']","['voluntary', 'additional', 'extra', 'minor', 'secondary', 'dead']"
critical,"['demanding', 'biting', 'critic', 'cutting', 'exacting', 'lowering', 'particular', 'severe', 'sharp', 'condemning']",['praising']
cutting,"['raw', 'pointed', 'biting', 'sharp', 'acid', 'bitter', 'severe', 'wounding']","['kind', 'stupid', 'pleasant', 'nice', 'gentle', 'weak', 'mild', 'calm', 'sweet']"
raw,"['organic', 'natural', 'rough', 'basic', 'fresh', 'green', 'native', 'bloody', 'hard']","['healthy', 'experienced', 'moral', 'pleasant', 'smooth', 'nice', 'sophisticated', 'gentle', 'cooked', 'done', 'healed', 'clean', 'good', 'warm']"
organic,"['biological', 'prime', 'living', 'necessary', 'constitutional', 'primary', 'original', 'fundamental', 'essential', 'principal', 'inherent', 'live', 'structural', 'vital']","['extra', 'minor', 'secondary']"
living,"['breathing', 'contemporary', 'dynamic', 'continuing', 'current', 'live', 'warm', 'awake', 'alive', 'around', 'ongoing', 'strong', 'vital', 'persisting', 'developing']","['asleep', 'dead']"
breathing,['panting'],['dead']
dead,"['late', 'asleep', 'buried', 'cold', 'departed', 'stiff', 'gone', 'wasted']","['living', 'existing', 'interested', 'working', 'continuing', 'enduring', 'alive', 'being', 'live', 'active', 'warm']"
buried,"['covered', 'hidden']","['exposed', 'open', 'bare']"
covered,"['painted', 'protected', 'closed', 'wrapped', 'hidden', 'bound', 'masked', 'sheltered', 'coated', 'topped', 'capped', 'surfaced']","['uncovered', 'open', 'bare', 'exposed', 'revealed', 'empty']"
finished,"['smooth', 'accomplished', 'perfected', 'classic', 'elegant', 'expert', 'professional', 'skilled']","['held', 'stored', 'kept', 'saved']"
smooth,"['gentle', 'mild', 'easy', 'stable', 'flat', 'continuous', 'fluid', 'peaceful', 'soft', 'steady', 'quiet', 'even', 'plain', 'uniform', 'plane', 'still', 'regular']","['complicated', 'demanding', 'excited', 'extraordinary', 'changing', 'variable', 'vertical', 'raised', 'rough', 'troubled', 'violent', 'wild', 'harsh', 'loud', 'sharp', 'strong', 'difficult', 'hard', 'complex', 'strict', 'broken', 'disturbed', 'different', 'wrinkled']"
gentle,"['quiet', 'pleasant', 'tender', 'moderate', 'soft', 'taught', 'trained', 'pleasing', 'easy', 'peaceful']","['cruel', 'excited', 'healthy', 'unhappy', 'mean', 'hard', 'harsh', 'loud', 'violent', 'wild', 'severe', 'rough', 'troubled', 'sharp', 'strong', 'low']"
tender,"['delicate', 'weak']","['experienced', 'older', 'healthy', 'OK', 'hard', 'rough', 'tough']"
delicate,"['rare', 'gentle', 'fragile', 'mild', 'elegant', 'tender', 'subtle', 'soft', 'choice', 'faint', 'fine', 'nice', 'pale', 'select', 'slight', 'superior']","['horrible', 'healthy', 'ordinary', 'rough', 'violent', 'harsh', 'loud', 'strong', 'firm', 'tough', 'ugly', 'hard', 'heavy']"
rare,"['limited', 'unusual', 'occasional', 'extraordinary', 'strange', 'unlikely', 'subtle', 'unique', 'few', 'isolated', 'light', 'scattered', 'seldom', 'short', 'thin']","['sufficient', 'standard', 'usual', 'frequent', 'typical', 'common', 'familiar', 'normal', 'regular', 'ordinary', 'cheap']"
occasional,"['unusual', 'rare', 'random', 'particular', 'odd', 'casual', 'exclusive', 'few', 'seldom', 'special', 'specific']","['frequent', 'usual', 'common', 'regular', 'ordinary', 'constant', 'steady']"
random,"['odd', 'casual', 'spot']","['planned', 'specific', 'essential', 'particular']"
odd,"['different', 'casual', 'chance', 'occasional', 'random', 'varied']","['like', 'similar']"
casual,"['occasional', 'odd', 'uncertain', 'unexpected']","['planned', 'formal', 'serious']"
marked,"['remarkable', 'striking', 'distinct', 'decided', 'considerable', 'noted', 'signal', 'patent', 'clear', 'arresting', 'pointed', 'evident', 'outstanding', 'prominent']","['vague', 'ordinary']"
decided,"['sure', 'distinct', 'determined', 'settled', 'assured', 'clear', 'express', 'absolute', 'explicit', 'positive', 'resolved', 'nailed']","['vague', 'uncertain', 'delaying']"
determined,"['dogged', 'serious', 'firm', 'set', 'pat', 'bent', 'decided', 'fixed', 'settled', 'constant', 'intent', 'solid', 'resolved']","['weak', 'yielding', 'flexible', 'soft', 'hesitating']"
dogged,"['firm', 'steady']","['weak', 'yielding', 'flexible', 'soft']"
yielding,"['resigned', 'easy', 'flexible']","['hard', 'solid']"
resigned,"['satisfied', 'gentle', 'yielding', 'quiet', 'ready', 'willing', 'calm', 'adapted', 'patient', 'philosophical', 'adjusted', 'accommodated']","['excited', 'rough', 'troubled', 'violent', 'wild', 'loud']"
ready,"['accessible', 'qualified', 'set', 'fit', 'completed', 'organized', 'primed', 'near', 'equipped', 'covered', 'adjusted', 'arranged', 'waiting', 'anticipating']","['bare', 'slow']"
qualified,"['experienced', 'talented', 'capable', 'efficient', 'licensed', 'accomplished', 'trained', 'equipped', 'adequate', 'proved', 'tried', 'fit', 'instructed', 'tested', 'examined', 'practiced', 'fitted', 'expert', 'good', 'proper', 'veteran']","['unable', 'open']"
talented,"['capable', 'brilliant', 'skilled', 'accomplished', 'intelligent', 'smart', 'able', 'artistic', 'expert']","['unable', 'stupid']"
brilliant,"['bright', 'intense']","['typical', 'stupid', 'dark', 'normal']"
bright,"['golden', 'brilliant', 'sunny', 'intense', 'beaming', 'burning', 'light', 'flashing', 'lighted']","['stupid', 'horrible', 'threatening', 'typical', 'pale', 'dark', 'black', 'depressed', 'unhappy', 'normal']"
golden,"['brilliant', 'bright', 'rich', 'shining', 'best', 'excellent', 'favorable', 'happy', 'precious', 'promising', 'successful', 'valuable']","['typical', 'stupid', 'dark', 'normal', 'ugly']"
rich,"['easy', 'fat', 'wealthy', 'independent', 'swimming', 'comfortable', 'loaded']","['failing', 'lacking', 'wanting', 'poor', 'low', 'weak', 'serious']"
wealthy,"['independent', 'comfortable', 'loaded', 'substantial', 'booming']","['failing', 'lacking', 'wanting', 'poor']"
independent,"['separate', 'absolute', 'separated']",['dependent']
separate,"['independent', 'free', 'isolated', 'abstracted', 'distributed', 'divided', 'loose', 'scattered', 'marked', 'removed', 'apart', 'distant', 'parted', 'divorced']","['connected', 'united', 'combined', 'joined', 'mixed', 'together', 'associated']"
free,[],"['expensive', 'priced', 'bound', 'prevented', 'scheduled', 'costly', 'limited', 'barred', 'busy', 'occupied', 'mean']"
expensive,"['costly', 'high', 'valuable', 'dear', 'excessive', 'rich']","['reasonable', 'cheap', 'moderate']"
high,"['huge', 'great', 'tremendous', 'big', 'long', 'large', 'soaring', 'steep', 'giant', 'flying', 'grand', 'towering']","['tiny', 'upset', 'little', 'minute', 'small', 'short', 'ground', 'low', 'mean', 'depressed', 'down', 'soft', 'weak']"
long,"['great', 'deep', 'high', 'tall', 'stretch', 'running', 'enduring', 'towering', 'sustained', 'distant', 'extensive', 'remote', 'expanded', 'stretching', 'stretched', 'continued']","['little', 'short', 'small', 'weak', 'soft', 'low']"
deep,"['wide', 'rooted', 'profound', 'far', 'broad', 'buried', 'low', 'below', 'beneath', 'distant', 'sunk']","['restricted', 'pale', 'narrow', 'shallow', 'open', 'light', 'quiet', 'soft']"
wide,"['full', 'broad', 'loose', 'deep', 'large', 'extensive', 'vast', 'advanced', 'comprehensive', 'general', 'liberal', 'open', 'progressive', 'radical', 'sweeping', 'universal', 'expanded']","['restricted', 'tiny', 'empty', 'narrow', 'small', 'little', 'limited', 'straight']"
loose,"['relaxed', 'easy', 'hanging', 'escaped', 'floating', 'separate', 'free', 'released', 'clear', 'apart']","['combined', 'connected', 'joined', 'united', 'restricted', 'moral', 'hard', 'strict', 'tight', 'stiff', 'attached', 'precise', 'clean', 'decent']"
prominent,"['outstanding', 'extended', 'marked', 'obvious', 'projecting', 'raised', 'relieved', 'remarkable', 'rough', 'signal', 'striking', 'arresting']","['invisible', 'sunken', 'unknown', 'depressed', 'common', 'ordinary']"
extended,"['long', 'spread', 'continued', 'unfolded']","['contracted', 'cut', 'reduced', 'narrow']"
unfolded,"['spread', 'extend', 'straighten', 'fan', 'release', 'open', 'display', 'expand']","['wind', 'hide', 'wrap', 'block', 'twist', 'contract', 'lower', 'shrink', 'hold', 'keep', 'maintain', 'cover', 'close', 'fold', 'check', 'stop']"
lower,"['junior', 'reduced', 'minor', 'low', 'secondary', 'lesser', 'smaller', 'under', 'diminished', 'decreased']","['increased', 'higher', 'major', 'important', 'superior']"
junior,"['lower', 'second', 'minor', 'secondary', 'lesser']","['elder', 'older', 'senior', 'important', 'superior']"
second,"['supporting', 'lower', 'extra', 'double', 'twin', 'place', 'following', 'further', 'alternative', 'repeated', 'secondary', 'additional', 'another', 'lesser', 'other', 'subsequent', 'succeeding']","['important', 'superior']"
double,"['second', 'twin', 'paired', 'repeated', 'twice', 'coupled']",['single']
twin,"['like', 'joint', 'double', 'accompanying', 'same', 'paired', 'second', 'identical', 'coupled', 'copied']","['unlike', 'individual', 'single', 'different', 'separate']"
like,"['comparable', 'alike', 'related', 'twin', 'close', 'same', 'uniform', 'resembling', 'equivalent', 'double', 'equal', 'near', 'consistent', 'identical', 'such', 'relating', 'equaling']","['unlike', 'far', 'changing', 'variable', 'different', 'away']"
comparable,"['equal', 'equivalent']","['unlike', 'different']"
equivalent,"['identical', 'comparable', 'equal', 'even', 'correspondent', 'like', 'carbon', 'copy', 'alike']","['opposite', 'unlike', 'different']"
even,"['alike', 'square', 'constant', 'smooth', 'direct', 'right', 'balanced', 'same', 'stable', 'plane', 'level', 'straight', 'steady', 'equal', 'regular', 'consistent', 'continuous', 'surfaced', 'true']","['varying', 'interrupted', 'changing', 'unfair', 'unlike', 'variable', 'vertical', 'biased', 'broken', 'rough', 'different', 'troubled', 'partial']"
alike,"['identical', 'similar', 'like', 'comparable', 'correspondent', 'double', 'equal', 'equivalent', 'even', 'related', 'resembling', 'same', 'uniform', 'associated', 'mated']","['unlike', 'diverse', 'opposite', 'different', 'distinct']"
similar,"['identical', 'comparable', 'related', 'like', 'companion', 'resembling', 'same', 'twin', 'uniform']","['unlike', 'alien', 'opposite', 'different']"
related,"['relevant', 'similar', 'linked', 'like', 'joint', 'alike', 'correspondent', 'dependent', 'incident', 'mutual', 'associated']","['alien', 'unlike', 'different', 'separate', 'foreign']"
joined,"['involved', 'married', 'united', 'related', 'combined', 'touching', 'connected', 'accompanying', 'paired', 'mixed', 'associated', 'coupled', 'attached', 'blended', 'banded']","['separated', 'apart']"
married,"['united', 'joined', 'mated']","['separated', 'single']"
united,"['linked', 'cooperative', 'integrated', 'incorporated', 'collective', 'corporate', 'one', 'pooled', 'associated', 'agreed', 'banded', 'leagued', 'assembled']","['divided', 'separated', 'separate']"
cooperative,"['united', 'collective', 'team', 'common', 'combining', 'agreeing', 'combined', 'shared', 'coordinated', 'uniting', 'joining', 'participating']","['divided', 'separate', 'hurting', 'preventing']"
collective,"['mutual', 'shared', 'corporate', 'joint', 'common', 'cooperative', 'combined', 'concentrated', 'gathered', 'united', 'assembled', 'grouped', 'piled']","['divided', 'separate']"
mutual,"['collective', 'connected', 'dependent', 'joint', 'public', 'related', 'returned', 'united', 'associated', 'participated']","['distinct', 'separate']"
connected,"['united', 'linked', 'combined', 'joined', 'consecutive', 'associated', 'coupled']",[]
consecutive,"['after', 'connected', 'constant', 'continuing', 'continuous', 'following', 'increasing', 'later', 'logical', 'progressive', 'running', 'succeeding']","['interrupted', 'broken']"
after,"['later', 'back', 'behind', 'below', 'next', 'rear', 'succeeding']",['before']
later,"['next', 'following', 'subsequent', 'more recent', 'succeeding']","['earlier', 'before']"
next,"['later', 'after', 'alongside', 'beside', 'close', 'coming', 'following', 'meeting', 'neighboring', 'subsequent', 'touching', 'attached', 'closest', 'nearest', 'succeeding']","['earlier', 'previous']"
close,"['warm', 'neighboring', 'approaching', 'immediate', 'nearly', 'next', 'nearest']","['far', 'distant', 'remote', 'away', 'beyond', 'loose', 'open', 'cool', 'dry', 'generous', 'giving']"
neighboring,"['nearby', 'bordering', 'close', 'near', 'beside']","['far', 'separate', 'away']"
nearby,"['neighboring', 'close', 'immediate', 'ready']",['far']
immediate,"['prompt', 'actual', 'critical', 'current', 'existing', 'first', 'instant', 'live', 'next', 'now', 'present', 'pressing']","['later', 'far', 'eventually', 'away', 'distant']"
prompt,"['precise', 'rapid', 'efficient', 'immediate', 'quick', 'instant', 'eager', 'willing', 'ready', 'smart']","['later', 'delayed', 'slow', 'late']"
rapid,"['fast', 'accelerated', 'flying', 'prompt', 'express', 'active', 'ready', 'fleet', 'hurried', 'screaming']","['delayed', 'slow']"
fast,"['rapid', 'hot', 'quick', 'electric', 'flying', 'hurried', 'ready', 'accelerated', 'fleet', 'racing', 'active', 'flashing']","['boring', 'moral', 'slow', 'flexible', 'loose', 'good']"
hot,"['tropical', 'boiling', 'warm', 'heated', 'burning', 'close', 'flaming', 'baking', 'piping']","['freezing', 'old-fashioned', 'out', 'dry', 'cold', 'cool', 'mild', 'moderate', 'calm', 'old']"
tropical,"['hot', 'close']","['freezing', 'cold', 'cool']"
freezing,"['biting', 'raw', 'cutting', 'bitter', 'chill', 'chilled']","['tropical', 'friendly', 'pleasant', 'kind', 'hot', 'warm', 'good', 'nice', 'boiling', 'heated']"
chill,"['freezing', 'biting', 'sharp', 'cool']","['friendly', 'kind', 'heated', 'hot', 'warm', 'slow']"
cool,"['biting', 'chilling', 'chill', 'chilled']","['excited', 'upset', 'friendly', 'kind', 'hot', 'warm', 'approving', 'poor', 'square']"
excited,"['nervous', 'delighted', 'eager', 'disturbed', 'moved', 'provoked', 'stimulated', 'charged', 'wild', 'stirred']","['bored', 'composed', 'calm']"
eager,"['ambitious', 'longing', 'intent', 'wild', 'desiring', 'heated', 'pining']",['satisfied']
ambitious,"['determined', 'aggressive', 'anxious', 'designing', 'driving', 'eager', 'hungry', 'inspired', 'intent', 'longing', 'pushing', 'sharp', 'soaring', 'climbing']","['content', 'satisfied', 'easy']"
driving,"['sweeping', 'dynamic', 'compelling', 'active', 'urging', 'violent']",['weak']
sweeping,"['broad', 'comprehensive', 'radical', 'extensive', 'full', 'complete', 'blanket', 'overall', 'general', 'global', 'vast', 'wide']","['restricted', 'specific', 'exclusive', 'narrow', 'partial']"
radical,"['profound', 'natural', 'bottom', 'constitutional', 'primary', 'original', 'organic', 'essential', 'native', 'inherent', 'underlying', 'vital']","['minor', 'conservative', 'secondary', 'moderate']"
profound,"['philosophical', 'deep', 'serious', 'subtle', 'intelligent', 'difficult', 'informed', 'intellectual', 'knowing', 'learned', 'mysterious', 'secret', 'skilled', 'wise']","['stupid', 'open', 'light', 'shallow', 'slight', 'mild', 'moderate']"
philosophical,"['profound', 'abstract', 'logical', 'rational', 'calm', 'composed', 'deep', 'learned', 'resigned', 'wise']","['stupid', 'objective', 'real', 'concrete', 'material', 'physical']"
abstract,"['philosophical', 'ideal', 'complex', 'deep', 'intellectual']","['real', 'objective', 'simple', 'actual', 'concrete', 'material', 'physical']"
complex,"['complicated', 'compound', 'multiple', 'confused', 'elaborate', 'mixed', 'compounded']","['evident', 'obvious', 'simple', 'single', 'uniform', 'clear', 'easy', 'plain', 'apparent', 'direct']"
complicated,"['hard', 'sophisticated', 'difficult', 'puzzling', 'involved', 'elaborate', 'mixed', 'various']","['easy', 'nice', 'simple', 'plain']"
sophisticated,"['practical', 'knowing', 'experienced', 'practiced', 'smooth', 'seasoned', 'studied', 'bored', 'adult', 'artificial', 'sharp', 'in', 'schooled']","['encouraged', 'excited', 'easy', 'simple', 'slow']"
knowing,"['brilliant', 'sophisticated', 'intelligent', 'wise', 'intended', 'expert', 'qualified', 'awake', 'quick', 'sharp', 'smart', 'alive', 'bright', 'conscious']","['stupid', 'kind', 'poor', 'slow']"
intelligent,"['wise', 'brilliant', 'creative', 'bright', 'smart', 'rational', 'original', 'able', 'alive', 'calculating', 'capable', 'instructed', 'knowing', 'profound', 'quick', 'ready', 'reasonable', 'responsible', 'sharp', 'thinking', 'understanding']","['stupid', 'typical', 'worn', 'dark', 'normal', 'old']"
creative,"['gifted', 'productive', 'innovative', 'original', 'inspired', 'stimulating']",['old']
gifted,"['brilliant', 'accomplished', 'skilled', 'smart', 'capable', 'able', 'expert', 'mad']","['stupid', 'unable']"
accomplished,"['talented', 'gifted', 'practiced', 'able', 'expert', 'sharp']",['unable']
practiced,"['skilled', 'able', 'expert', 'exercised']",[]
skilled,"['experienced', 'able', 'expert']",['unable']
expert,"['experienced', 'skilled', 'trained', 'crack', 'professional', 'sharp', 'able', 'practiced', 'qualified', 'schooled']","['stupid', 'green']"
trained,"['experienced', 'skilled', 'qualified', 'schooled']","['unable', 'raw']"
unable,['weak'],"['capable', 'sufficient', 'adequate', 'talented', 'strong', 'able', 'fit', 'qualified']"
sufficient,"['acceptable', 'appreciate', 'comfortable', 'common', 'decent', 'due', 'pleasing', 'plenty']","['lacking', 'wanting', 'poor']"
acceptable,"['fair', 'decent', 'sufficient', 'common', 'adequate', 'average', 'large', 'okay', 'pleasant', 'pleasing', 'standard', 'welcome']","['disturbing', 'poor', 'bad']"
decent,"['good', 'honest', 'modest', 'proper', 'correct', 'right', 'approved', 'becoming', 'clean', 'continent', 'delicate', 'ethical', 'fit', 'fitting', 'moral', 'nice', 'pure', 'reserved', 'standard', 'straight', 'suitable']",['poor']
